,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability Status,,,,,,Mental Health,,,,,,,,COVID Vaccine and Long COVID,,,,,,Society and Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health Insurance,,Food Security,,,,,,Internet Security,,,,,,
P090049299,49,,,1972,1,1,5,4,1,4,7,0,0,0,0,8,2,1,2,10,3,2,1,1,1,1,1,1,2,1,1,2,4,4,4,6,1,2,1,2,1,2,2,5,1,4,1,3,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049308,17,,,1959,1,2,4,5,1,4,1,0,0,0,0,1,2,2,6,5,4,4,1,2,1,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,2,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2
P090049309,47,,,1951,1,1,6,5,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,3,3,2,2,4,4,4,6,1,1,2,5,5,5,1,4,4,2,4,4,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049325,40,,,1967,1,1,3,1,1,2,2,0,0,0,0,1,1,2,6,8,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,2,1,1,2,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,1,2,2,1,3,2,2,2,2,2,1,2,2,2,2,5
P090049327,6,31080,,1936,1,1,7,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,3,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,3,2,1,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049328,27,,,1936,1,1,6,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,1,2,2,1,1,2,1,1,2,1,4,4,4,6,2,4,2,5,5,5,2,5,1,1,4,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090049333,29,,,1991,2,1,7,5,1,4,2,0,0,0,0,4,1,1,1,10,3,3,3,1,1,2,2,1,4,4,4,4,4,4,4,6,1,1,1,3,3,2,4,1,2,3,1,5,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,2,4,1,1,2,2,2,1,1,2,2,2,2,5
P090049337,53,42660,,1957,1,1,7,1,2,2,2,0,0,0,0,8,2,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,1,1,5,1,2,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049339,37,,,1949,1,1,5,3,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,4,4,2,2,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049340,45,,,1972,1,1,4,1,1,2,2,0,0,0,0,3,2,1,4,10,2,4,1,1,2,2,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,5,4,1,2,1,5,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090049346,53,,,1975,1,1,7,1,2,2,2,0,0,0,0,5,2,2,6,6,4,4,2,1,2,2,1,1,3,2,2,2,4,4,4,6,1,1,1,3,3,1,2,3,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049355,53,42660,,1958,1,1,7,3,2,2,1,0,0,0,0,1,1,1,4,10,2,2,2,2,1,2,2,1,4,2,2,2,4,4,4,6,1,1,2,5,5,5,4,3,3,2,2,3,1,2,2,2,3,3,3,3,3,3,3,3,3,5,3,2,3,4,1,1,4,2,2,1,2,2,1,1,1,2,2,2,3
P090049357,55,,,1972,1,1,6,3,2,2,3,1,1,0,0,5,2,1,2,10,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,5,5,5,3,3,2,2,4,4,2,2,2,4,2,2,2,2,2,2,2,2,3,5,3,1,3,2,1,2,4,4,1,2,2,2,1,1,2,2,2,2,5
P090049360,26,,,1948,1,1,4,1,2,2,2,0,0,0,0,3,2,2,6,5,4,4,1,2,1,2,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,5,2,1,4,5,1,1,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049361,47,,,1975,1,1,3,1,1,2,2,0,0,0,0,1,2,2,6,4,4,4,1,1,3,1,2,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,4,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,4,1,3,3,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049362,13,,,1967,1,1,6,1,1,2,3,1,1,0,0,5,2,1,2,10,3,3,1,1,1,2,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,1,5,2,2,4,5,1,2,1,3,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049371,50,,,1970,1,1,7,5,2,2,3,0,0,0,0,6,2,1,2,10,3,3,1,1,1,2,1,1,3,2,2,2,4,4,4,6,1,1,2,5,5,5,3,3,2,3,1,5,2,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,3,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049372,35,,,1959,1,1,6,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049384,18,,,1976,1,1,2,1,2,2,6,5,0,0,0,4,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,1,5,4,2,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049395,6,31080,,1983,1,1,6,5,1,2,1,0,0,0,0,7,2,1,2,10,2,2,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,3,1,5,2,2,1,2,3,3,3,3,3,3,3,3,3,6,4,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049399,11,47900,,1946,1,1,7,1,2,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,3,4,2,2,2,1,3,3,3,3,3,3,3,3,2,6,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,1,3
P090049400,27,,,1966,1,1,5,1,1,2,2,0,0,0,0,6,2,1,2,10,3,4,1,2,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,2,1,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049417,4,38060,,1950,1,1,7,3,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,2,1,1,1,2,2,1,1,4,4,4,6,1,1,2,5,5,5,3,3,3,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,2,2,2,1,4,4,2,2,2,2,1,1,2,2,2,2,5
P090049418,12,,,1966,1,1,7,1,2,2,2,0,0,0,0,8,2,2,6,7,4,4,2,2,3,1,1,1,2,2,2,2,4,4,4,6,1,3,1,4,3,1,4,2,3,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090049419,12,,,1953,1,1,2,5,2,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,3,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049422,55,,,1963,1,1,7,1,2,2,2,0,0,0,0,5,1,2,6,6,4,4,2,2,2,2,1,1,2,1,2,2,4,4,4,6,1,1,2,5,5,5,2,4,1,1,4,4,2,2,2,3,3,3,3,3,3,3,3,3,2,5,7,3,1,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090049427,4,38060,,1956,1,1,7,1,1,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,2,1,1,2,4,4,4,6,1,2,2,5,5,5,1,4,4,2,4,5,1,1,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049430,48,26420,,1987,2,1,6,5,2,3,2,0,0,0,0,5,2,1,2,10,1,1,2,1,1,2,1,2,4,4,1,1,4,4,4,6,1,3,1,4,1,2,2,2,2,1,1,2,2,1,2,1,3,3,3,3,3,3,3,3,3,6,1,1,3,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090049431,36,,,1948,1,1,7,1,2,2,2,0,0,0,0,8,2,2,6,5,4,4,1,2,2,2,1,1,1,1,1,4,4,4,4,6,1,1,2,5,5,5,2,3,4,4,2,5,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049435,35,,,1958,1,1,5,5,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,2,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,1,1,3,2,2,2,1,3,3,3,3,3,3,3,3,3,5,1,1,3,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049437,53,,,1949,1,1,4,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1
P090049441,12,,,1993,2,1,6,1,2,2,1,0,0,0,0,1,1,2,6,9,4,4,2,1,1,2,1,1,4,4,1,4,4,4,4,6,1,3,2,5,5,5,2,1,2,1,2,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,3,1,3,1,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090049442,26,19820,,1981,1,1,3,1,2,2,2,0,0,0,0,2,2,2,6,4,4,4,2,1,1,1,1,1,2,2,2,2,4,4,4,6,2,4,2,5,5,5,3,2,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,2,1,4,3,2,1,2,2,1,1,1,2,2,2,2
P090049445,18,,,1951,1,1,3,2,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,2,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,2,3,2,2,2,2,1,1,1,2,2,2,2
P090049447,51,,,1958,1,1,3,3,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049449,12,,,1947,1,1,5,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,2,3,3,1,3,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,2,4,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049459,45,,,1978,1,2,6,5,2,2,1,0,0,0,0,4,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,2,4,5,1,2,1,2,3,3,3,3,3,3,3,3,3,6,1,1,3,4,1,2,1,1,1,2,2,2,1,1,2,2,2,2,5
P090049465,56,,,1977,1,1,5,1,2,2,5,2,0,0,2,4,1,2,6,7,4,4,2,1,2,2,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,4,3,1,3,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,7,7,3,1,2,1,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049466,41,,,1966,1,1,4,1,1,2,3,1,1,0,0,8,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,2,4,1,3,1,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,3,1,1,2,2,2,2,1,2,2,2,2,2,5
P090049468,28,,,1964,1,1,6,3,2,2,1,0,0,0,0,4,2,1,2,10,3,3,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,3,1,1,1,1,2,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049472,27,,,1994,1,1,7,3,1,3,4,2,1,0,0,5,2,1,2,10,3,3,2,2,1,1,1,1,2,2,2,2,3,5,5,7,1,1,1,3,3,2,2,3,1,3,1,1,1,2,2,1,1,1,1,1,2,2,2,2,3,2,1,1,3,3,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049480,17,,,1953,1,1,4,1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,1,2,2,1,2,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049481,24,,,1954,1,1,3,3,2,2,2,0,0,0,0,1,1,2,6,6,4,4,2,1,2,2,1,1,1,1,2,2,4,4,4,6,1,2,2,5,5,5,3,3,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,3,7,3,1,2,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049488,13,12060,,1976,1,1,7,3,1,2,1,0,0,0,0,8,2,1,2,10,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,2,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049498,20,,,1945,1,1,7,2,2,2,1,0,0,0,0,4,2,2,6,5,4,4,2,1,2,1,1,1,1,1,2,1,4,4,4,6,1,1,2,5,5,5,2,5,1,1,1,5,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049504,25,,,1950,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,4,1,4,4,4,6,1,1,2,5,5,5,1,5,2,1,1,2,2,2,2,1,3,3,3,3,3,3,3,3,1,3,7,3,4,4,1,1,3,1,2,2,2,2,1,1,1,2,2,2,3
P090049512,24,,,1954,1,2,5,3,1,2,1,0,0,0,0,1,2,2,6,5,4,4,2,1,2,2,2,1,1,1,1,2,4,4,4,6,1,1,2,5,5,5,3,3,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049526,42,37980,,1994,1,4,4,5,1,4,3,0,0,0,0,3,2,1,2,10,1,4,1,1,1,2,1,1,2,2,1,2,4,4,4,6,1,1,2,5,5,5,3,3,2,2,2,1,2,1,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049528,29,,,1983,1,1,4,3,1,2,2,0,0,0,0,3,2,1,4,10,1,4,1,1,1,1,1,1,2,2,1,2,4,4,4,6,1,3,2,5,5,5,2,4,3,1,1,5,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049536,12,,,1981,1,1,6,3,2,2,4,2,1,1,0,6,1,1,2,10,3,3,1,1,1,1,1,1,2,2,2,2,3,5,5,7,1,3,2,5,5,5,3,4,3,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,3,1,3,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090049539,6,41860,,1990,2,1,6,1,1,1,2,0,0,0,0,6,2,1,2,10,1,1,2,1,1,3,1,1,2,1,2,1,4,4,4,6,2,4,2,5,5,5,2,4,2,1,1,1,2,1,2,1,3,3,3,3,3,3,3,3,3,6,3,1,3,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090049552,45,,,1965,1,1,6,1,1,2,2,0,0,0,0,8,2,2,6,5,1,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,5,5,2,2,2,4,1,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,2,2,2,2,2,1,1,2,2,2,2,5
P090049554,9,,,1959,1,1,3,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,4,5,4,4,1,1,1,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090049555,32,,,1958,1,1,4,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,4,4,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049564,42,,,1947,1,1,6,1,2,2,3,0,0,0,0,5,2,2,6,5,4,4,2,3,2,1,1,1,3,3,2,2,4,4,4,6,1,2,2,5,5,5,3,3,3,2,4,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049571,6,,,1952,2,4,6,3,2,2,5,0,0,0,0,4,2,2,6,5,3,4,1,1,2,2,2,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,3,4,5,1,1,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,1,2,2,1,1,1,2,2,2,2,5
P090049576,30,,,1955,1,1,5,1,1,2,2,0,0,0,0,3,2,2,6,5,1,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,1,1,4,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,1,2,2,2,1,2,2,2,2,2,5
P090049579,15,,,1951,1,4,5,2,2,2,6,2,2,0,0,6,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,3,5,5,7,1,2,2,5,5,5,1,5,1,1,2,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,7,3,1,3,1,1,2,1,2,1,2,2,1,1,2,2,2,2,5
P090049580,48,26420,,1945,1,1,4,1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,2,2,3,1,1,1,1,1,2,1,4,4,4,6,1,1,2,5,5,5,1,5,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,5
P090049581,35,,,1972,2,1,3,4,2,2,2,0,0,0,0,1,2,2,6,1,4,4,2,1,2,2,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,1,3,3,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,5,4,2,3,3,2,1,3,2,2,1,2,2,1,1,2,2,2,2,5
P090049589,48,19100,,1981,1,1,6,1,2,2,2,0,0,0,0,7,2,1,4,10,3,3,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,2,3,1,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049591,13,,,1967,1,1,6,3,2,2,2,0,0,0,0,1,2,2,6,3,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,4,2,1,1,1,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,3,1,1,2,1,2,2,2,2,2,1,2,2,2,2,5
P090049592,6,41860,,1985,1,1,6,5,2,2,3,0,0,0,0,5,1,2,6,4,4,4,1,1,2,2,2,1,1,1,1,1,4,4,4,6,1,3,1,3,3,2,2,3,1,4,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,2,2,1,2,1,2,2,1,1,2,2,2,2,5
P090049594,4,38060,,1970,1,1,6,3,2,2,1,0,0,0,0,7,2,1,1,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049595,35,,,1972,1,1,7,1,2,3,2,0,0,0,0,2,2,1,4,10,1,1,2,2,1,2,1,1,2,2,1,2,4,4,4,6,1,1,2,5,5,5,3,3,4,3,1,1,2,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,3,2,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090049598,25,,,1966,1,1,3,3,2,2,1,0,0,0,0,1,2,2,6,4,4,4,2,1,2,3,3,1,4,4,1,1,4,4,4,6,1,1,2,5,5,5,2,3,4,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,4,1,1,3,3,2,1,4,1,2,1,2,2,1,1,1,1,2,2,2
P090049601,34,37980,,1958,1,1,3,3,1,2,1,0,0,0,0,1,1,2,6,4,4,4,2,1,3,1,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,4,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,3,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049604,49,,,1961,1,1,2,3,2,2,2,0,0,0,0,4,2,2,6,4,2,4,2,2,2,3,1,2,4,4,4,4,4,4,4,6,1,1,2,5,5,5,4,1,1,1,1,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,7,3,1,4,2,1,3,2,2,2,2,2,1,1,1,2,2,2,1
P090049605,40,,,1977,1,1,4,3,2,2,1,0,0,0,0,1,1,2,6,8,4,4,3,2,1,2,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,4,3,2,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,4,2,7,3,3,1,2,1,4,4,2,1,2,2,1,1,1,1,2,2,2
P090049607,41,,,1957,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,3,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049619,6,31080,,1999,1,3,6,5,2,3,4,0,0,0,0,7,2,1,2,10,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,3,3,2,2,1,4,1,1,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,1,1,2,2,1,1,2,2,2,2,5
P090049625,5,,,1950,1,1,4,1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,2,1,2,1,1,1,2,2,1,1,4,4,4,6,1,3,2,5,5,5,4,5,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049631,22,,,1951,1,1,6,3,2,2,1,0,0,0,0,2,1,2,6,9,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,3,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,6,1,1,3,3,3,1,3,3,2,2,2,2,1,1,2,2,2,2,5
P090049635,2,,,1967,1,1,7,1,1,2,3,0,0,0,0,8,2,1,2,10,3,4,1,1,1,2,1,1,3,2,2,2,4,4,4,6,1,1,1,2,3,2,2,3,3,3,1,4,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049637,17,16980,,1970,1,1,4,1,1,2,2,0,0,0,0,7,2,1,2,10,3,3,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,1,2,5,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049641,37,,,1994,1,1,6,5,2,2,1,0,0,0,0,5,2,1,2,10,1,1,1,1,1,2,1,1,2,2,2,2,4,4,4,6,1,3,1,4,3,1,4,3,2,1,2,4,1,2,1,3,3,3,3,3,3,3,3,3,3,2,1,1,3,1,1,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090049643,32,,,1996,1,1,6,1,1,2,2,0,0,0,0,5,1,2,6,6,4,4,1,2,2,1,1,1,2,2,2,3,4,4,4,6,2,4,2,5,5,5,3,3,2,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049649,16,,,1952,2,1,7,3,2,2,3,1,1,0,0,5,2,1,1,10,3,3,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,2,2,5,5,5,1,4,3,2,1,1,2,2,1,4,2,2,2,2,2,2,2,2,1,2,7,3,4,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090049650,37,,,1967,1,1,6,1,2,2,2,0,0,0,0,7,2,2,6,9,3,4,2,1,2,2,1,1,2,3,2,2,4,4,4,6,1,1,2,5,5,5,2,2,3,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049653,28,,,1947,1,2,7,2,2,2,2,0,0,0,0,4,2,2,6,5,1,4,1,1,1,2,1,1,1,1,1,2,4,4,4,6,1,3,2,5,5,5,1,3,3,4,4,5,1,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,1,2,2,2,1,1,2,2,2,1,3
P090049657,30,,,1998,1,1,3,1,1,2,2,0,0,0,0,6,2,1,2,10,3,4,1,1,1,2,1,1,2,2,4,4,4,4,4,6,2,4,2,5,5,5,4,3,4,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,1,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090049661,33,,,1941,1,1,7,1,2,2,2,0,0,0,0,7,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,4,5,1,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090049664,20,,,1959,1,1,4,2,2,2,1,0,0,0,0,3,2,2,6,5,4,4,1,1,2,1,1,1,1,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,1,1,1,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
